name_displayed,country_code,pop_2014,audience_2014,pct_audience_2014,region,attribute,listed_FIFA_2014,region_org
Rwanda,RWA,11345357,148644,0.013101747,Africa,Country,Rwanda,Africa and Middle East
Swaziland,SWZ,1295097,147543,0.113924285,Africa,Country,Swaziland,Africa and Middle East
Seychelles,SYC,91359,53360,0.58406944,Africa,Country,Seychelles,Africa and Middle East
Syria,SYR,19203090,9593135,0.49956205,Middle East,Country,Syria,Africa and Middle East
Bahrain,BHR,1336397,667613,0.499561882,Middle East,Country,Bahrain,Africa and Middle East
Iraq,IRQ,35006080,17487708,0.499562019,Middle East,Country,Iraq,Africa and Middle East
Jordan,JOR,8809306,4400795,0.499562054,Middle East,Country,Jordan,Africa and Middle East
Kuwait,KWT,3782450,1889568,0.499561924,Middle East,Country,Kuwait,Africa and Middle East
Lebanon,LBN,5603279,2799185,0.499561953,Middle East,Country,Lebanon,Africa and Middle East
Oman,OMN,3960925,1978728,0.499562097,Middle East,Country,Oman,Africa and Middle East
Palestine,PSE,4550368,2273191,0.499562013,Middle East,Country,Palestine,Africa and Middle East
Qatar,QAT,2374419,1186170,0.499562209,Middle East,Country,Qatar,Africa and Middle East
Saudi Arabia,SAU,30776722,15374882,0.499562039,Middle East,Country,Saudi Arabia,Africa and Middle East
Yemen,YEM,26246327,13111668,0.499562015,Middle East,Country,Yemen,Africa and Middle East
