name_displayed,country_code,pop_2014,audience_2014,pct_audience_2014,region,attribute,listed_FIFA_2014
Trinidad &Tobago,TTO,1354493,586825,0.4332432873,"North, Central America & Caribbean",Country,Trinidad & Tobago
Curacao,CUW,155909,66174,0.4244398976,"North, Central America & Caribbean",Country,Curacao
Liberia,LBR,4390737,1855997,0.4227073951,Africa and Middle East,Country,Liberia
Cayman Islands,CYM,59172,24971,0.4220070304,"North, Central America & Caribbean",Country,Cayman Islands
Jamaica,JAM,2862087,1204864,0.4209739257,"North, Central America & Caribbean",Country,Jamaica
Laos,LAO,6576397,2767686,0.4208514176,Asia,Country,Laos
Vietnam,VNM,92544915,38880800,0.420128972,Asia,Country,Vietnam
Kyrgyzstan,KGZ,5835500,2451208,0.4200510667,Asia,Country,Kyrgyzstan
Antigua & Barbuda,ATG,98875,41203,0.4167180784,"North, Central America & Caribbean",Country,Antigua & Barbuda
Indonesia,IDN,255131116,103428000,0.4053915556,Asia,Country,Indonesia
Aruba,ABW,103795,41827,0.402977022,"North, Central America & Caribbean",Country,Aruba
Malaysia,MYS,30228017,12001353,0.3970274663,Asia,Country,Malaysia
Israel,ISR,8215700,3132038,0.3812259454,Europe,Country,Israel
Uzbekistan,UZB,30757700,11457333,0.372502918,Asia,Country,Uzbekistan
Nepal,NPL,28323241,10365967,0.3659880238,Asia,Country,Nepal
Mongolia,MNG,2923896,1055287,0.3609181038,Asia,Country,Mongolia
Cape Verde,CPV,526437,189896,0.3607193263,Africa and Middle East,Country,Cape Verde
Taiwan,TWN,23377515,8389710,0.3588794617,Asia,Country,Taiwan
Azerbaijan,AZE,9535079,3398771,0.3564491705,Europe,Country,Azerbaijan
Australia,AUS,23504138,8165460,0.3474052101,Oceania,Country,Australia
Nigeria,NGA,176460502,58475343,0.3313792171,Africa and Middle East,Country,Nigeria
United States,USA,318563456,105255000,0.3304051297,"North, Central America & Caribbean",Country,United States
New Zealand,NZL,4509700,1452593,0.3221041311,Oceania,Country,New Zealand
Cook Islands,COK,34918,10907,0.3123603872,Oceania,Country,Cook Islands
Algeria,DZA,39113313,11712149,0.2994414971,Africa and Middle East,Country,Algeria
Solomon Islands,SLB,575504,172020,0.2989032222,Oceania,Country,Solomon Islands
Guatemala,GTM,15923559,4617164,0.2899580427,"North, Central America & Caribbean",Country,Guatemala
Fiji,FJI,885806,250710,0.2830303701,Oceania,Country,Fiji
Bolivia,BOL,10562159,2949139,0.2792174403,South America,Country,Bolivia
Senegal,SEN,14546111,4030751,0.2771016253,Africa and Middle East,Country,Senegal
Myanmar,MMR,51924182,14012753,0.2698694993,Asia,Country,Myanmar
Iran,IRN,78411092,20499414,0.2614351296,Africa and Middle East,Country,Iran
Georgia,GEO,3727000,891248,0.2391328146,Europe,Country,Georgia
Afghanistan,AFG,32758020,7667600,0.234067871,Asia,Country,Afghanistan
American Samoa,ASM,55437,12627,0.2277720656,Oceania,Country,American Samoa
Ghana,GHA,26962563,5927563,0.2198441966,Africa and Middle East,Country,Ghana
Cameroon,CMR,22239904,4139767,0.186141406,Africa and Middle East,Country,Cameroon
China,CHN,1364270000,252277000,0.1849172085,Asia,Country,China
Tonga,TON,105782,19508,0.1844170086,Oceania,Country,Tonga
Palau,PLW,21094,3843,0.1821845074,Oceania,Country,Palau
Maldives,MDV,408247,73751,0.1806528891,Asia,Country,Maldives
Samoa,WSM,192290,33672,0.1751105102,Oceania,Country,Samoa
Papua New Guinea,PNG,7755785,1263981,0.1629726714,Oceania,Country,Papua New Guinea
Zimbabwe,ZWE,15411675,2109315,0.136864747,Africa and Middle East,Country,Zimbabwe
Guinea,GIN,11805509,1588167,0.1345276176,Africa and Middle East,Country,Guinea
Namibia,NAM,2370992,313306,0.1321413147,Africa and Middle East,Country,Namibia
Zambia,ZMB,15620974,1980347,0.1267748733,Africa and Middle East,Country,Zambia
Kenya,KEN,46024250,5790899,0.1258227782,Africa and Middle East,Country,Kenya
North Korea,PRK,25116363,3100908,0.1234616652,Asia,Country,North Korea
Gabon,GAB,1875713,227268,0.1211635256,Africa and Middle East,Country,Gabon
Madagascar,MDG,23589801,2706807,0.1147448001,Africa and Middle East,Country,Madagascar
Swaziland,SWZ,1295097,147543,0.1139242852,Africa and Middle East,Country,Swaziland
Sri Lanka,LKA,20771000,2319208,0.1116560589,Asia,Country,Sri Lanka
Angola,AGO,26920466,2831036,0.1051629641,Africa and Middle East,Country,Angola
Burundi,BDI,9891790,998873,0.1009800046,Africa and Middle East,Country,Burundi
Timor,TLS,1212814,107275,0.08845132065,Asia,Country,Timor
Togo,TGO,7228915,607057,0.08397622603,Africa and Middle East,Country,Togo
Burkina Faso,BFA,17585977,1424122,0.0809805449,Africa and Middle East,Country,Burkina Faso
Pakistan,PAK,185546257,14944339,0.08054239003,Asia,Country,Pakistan
India,IND,1293859294,85733200,0.06626161005,Asia,Country,India
Benin,BEN,10286712,604916,0.05880557364,Africa and Middle East,Country,Benin
Mali,MLI,16962846,994993,0.05865719703,Africa and Middle East,Country,Mali
Niger,NER,19148219,1052741,0.05497853351,Africa and Middle East,Country,Niger
Mozambique,MOZ,27212382,1394321,0.05123847666,Africa and Middle East,Country,Mozambique
Congo DR,COD,73722860,3406884,0.04621204332,Africa and Middle East,Country,Congo DR
Tanzania,TZA,52234869,2106717,0.04033162216,Africa and Middle East,Country,Tanzania
"Congo, Rep.",COG,4871101,195700,0.04017572208,Africa and Middle East,Country,Congo Brazzaville
Bangladesh,BGD,159405279,5985000,0.037545808,Asia,Country,Bangladesh
Sierra Leone,SLE,7079162,252932,0.03572908771,Africa and Middle East,Country,Sierra Leone
