name_displayed,country_code,pop_2014,audience_2014,group,pct_audience_2014,region,attribute,listed_FIFA_2014,region_org
"Congo, Rep.",COG,4871101,195700,1,0.04017572208,Africa,Country,Congo Brazzaville,Africa and Middle East
Norway,NOR,5137232,3878000,1,0.7548812279,Europe,Country,Norway,Europe
Slovakia,SVK,5418649,3441284,1,0.6350815489,Europe,Country,Slovakia,Europe
Finland,FIN,5461512,3197823,1,0.5855197242,Europe,Country,Finland,Europe
Turkmenistan,TKM,5466241,2577900,1,0.471603795,Asia,Country,Turkmenistan,Asia
Singapore,SGP,5469724,2675162,1,0.4890853725,Asia,Country,Singapore,Asia
Lebanon,LBN,5603279,2799185,1,0.4995619529,Middle East,Country,Lebanon,Africa and Middle East
Denmark,DNK,5643475,4228000,1,0.7491837919,Europe,Country,Denmark,Europe
Kyrgyzstan,KGZ,5835500,2451208,1,0.4200510667,Asia,Country,Kyrgyzstan,Asia
Nicaragua,NIC,6013997,2710820,1,0.4507518045,"North, Central America & Caribbean",Country,Nicaragua,"North, Central America & Caribbean"
El Salvador,SLV,6281189,5251337,1,0.8360418704,"North, Central America & Caribbean",Country,El Salvador,"North, Central America & Caribbean"
Paraguay,PRY,6552584,4482587,1,0.6840945496,South America,Country,Paraguay,South America
Laos,LAO,6576397,2767686,1,0.4208514176,Asia,Country,Laos,Asia
Sierra Leone,SLE,7079162,252932,1,0.03572908771,Africa,Country,Sierra Leone,Africa and Middle East
Serbia,SRB,7130576,4844606,1,0.6794129955,Europe,Country,Serbia,Europe
Bulgaria,BGR,7223938,4995712,1,0.6915496783,Europe,Country,Bulgaria,Europe
Togo,TGO,7228915,607057,1,0.08397622603,Africa,Country,Togo,Africa and Middle East
Hong Kong,HKG,7229500,3511012,1,0.4856507366,Asia,Country,Hong Kong,Asia
Papua New Guinea,PNG,7755785,1263981,1,0.1629726714,Oceania,Country,Papua New Guinea,Oceania
Switzerland,CHE,8188649,5389874,1,0.6582128505,Europe,Country,Switzerland,Europe
Israel,ISR,8215700,3132038,1,0.3812259454,Middle East,Country,Israel,Europe
Austria,AUT,8541575,5352045,1,0.6265876024,Europe,Country,Austria,Europe
Honduras,HND,8809216,5741325,1,0.6517407451,"North, Central America & Caribbean",Country,Honduras,"North, Central America & Caribbean"
Jordan,JOR,8809306,4400795,1,0.499562054,Middle East,Country,Jordan,Africa and Middle East
Belarus,BLR,9474511,4792250,1,0.5058044684,Europe,Country,Belarus,Europe
Azerbaijan,AZE,9535079,3398771,1,0.3564491705,Europe,Country,Azerbaijan,Europe
Sweden,SWE,9696110,6107048,1,0.6298451647,Europe,Country,Sweden,Europe
